accession	taxonomy	compound	bioactivities	genome_accession	location_start	location_end
BGC0000290	Streptomyces toyocaensis	A-47934	antibacterial	U82965.2	0	0
BGC0000291	Streptomyces fradiae	A54145	antibacterial	DQ118863.1	0	0
BGC0000292	Aspergillus terreus NIH2624	acetylaranotin	cytotoxic	CH476597.1	1891389	1919011
BGC0000293	Aspergillus fischeri NRRL 181	acetylaszonalenin	anticancer	DS027698.1	2428387	2441151
BGC0000294	Acinetobacter baumannii	acinetobactin	siderophore	AB101202.1	3950	30424
BGC0000295	Acinetobacter haemolyticus	acinetoferrin	siderophore	AB661448.1	0	0
BGC0000296	Streptomyces anulatus	actinomycin D	antibacterial, antifungal, cytotoxic	HM038106.1	0	0
BGC0000297	Planktothrix agardhii NIVA-CYA 126	aeruginoside 126B		AM071396.2	0	0
BGC0000298	Microcystis aeruginosa NIES-98	aeruginosin 98-A	inhibitor	FJ609416.1	0	0
BGC0000299	Pseudoalteromonas piscicida JCM 20779	alterochromide A		MIBIG.BGC0000299.1	0	0
BGC0000300	Streptomyces sp. AA4	amychelin	siderophore	GG657746.1	2722391	2757628
BGC0000301	Planktothrix agardhii NIVA-CYA 126/8	anabaenopeptin 908	inhibitor	EF672686.1	0	0
BGC0000302	Anabaena sp. 90	anabaenopeptin	inhibitor	GU174493.1	0	0
BGC0000303	Streptomyces refuineus subsp. thermotolerans	anthramycin	antibacterial, antifungal, cytotoxic	EU195114.1	0	0
BGC0000304	Fusarium incarnatum	apicidin	antiprotozoal, inhibitor, cytotoxic	GQ331953.1	0	0
BGC0000305	Pseudomonas sp. MIS38	arthrofactin A	surfactant	AB107223.1	0	0
BGC0000306	Streptomyces filamentosus NRRL 11379	arylomycin	antibacterial	ABYX02000001.1	6273710	6304320
BGC0000307	Aureobasidium pullulans	AbT1	antifungal	EU886741.1	0	0
BGC0000308	Staphylococcus aureus subsp. aureus str. JKD6008	aureusimine A	virulence factor	CP002120.1	176051	183901
BGC0000309	Bacillus subtilis subsp. subtilis str. 168	bacillibactin	siderophore	AL009126.3	3280293	3293359
BGC0000310	Bacillus licheniformis	bacitracin	antibacterial	AF007865.2	0	0
BGC0000311	Amycolatopsis balhimycina DSM 5908	balhimycin	antibacterial	Y16952.3	1	66669
BGC0000312	Beauveria bassiana	bassianolide		FJ439897.1	0	0
BGC0000313	Beauveria bassiana	beauvericin	insecticidal, cytotoxic, antifungal, antibacterial, antiviral	EU886196.1	0	0
BGC0000315	Streptomyces coelicolor A3(2)	CDA1b	antibacterial	AL645882.2	3519449	3602320
BGC0000316	Saccharothrix mutabilis subsp. capreolus	capreomycin IA	antibacterial	EF472579.1	0	0
BGC0000317	Acremonium chrysogenum ATCC 11550	cephalosporin C		JPKY01000002.1	71175	98055
BGC0000318	Acremonium chrysogenum ATCC 11550	cephalosporin, cefEFG genes		JPKY01000040.1	130387	136157
BGC0000319	Streptomyces clavuligerus ATCC 27064	cephamycin C	antibacterial, inhibitor	DS570624.1	142995	177446
BGC0000320	Bacillus cereus	cereulide	cytotoxic	DQ360825.1	0	0
BGC0000321	Collariella virescens	chaetocin	inhibitor, cytotoxic, antibacterial	KF496217.1	0	0
BGC0000322	Amycolatopsis orientalis	chloroeremomycin		AJ223999.1	0	0
BGC0000323	Pseudomonas cichorii	cichofactin A	antibacterial, antifungal, surfactant	KJ513093.1	0	0
BGC0000324	Streptomyces coelicolor A3(2)	coelibactin	ionophore, siderophore	AL645882.2	8504461	8529581
BGC0000325	Streptomyces coelicolor A3(2)	coelichelin	siderophore	AL645882.2	510823	533448
BGC0000326	Streptomyces lavendulae	isocomplestatin	antibacterial, antiviral	AF386507.1	0	0
BGC0000327	Streptomyces ambofaciens ATCC 23877	netropsin	antiviral	AM238664.2	1082965	1112107
BGC0000328	Pseudomonas savastanoi pv. glycinea	coronatine	phytotoxic	AY391839.1	0	0
BGC0000329	Pseudomonas corrugata	corpeptin A	antibacterial	KF192265.2	0	0
BGC0000330	Cupriavidus necator H16	cupriachelin	antibacterial, siderophore	AM260480.1	1886949	1923310
BGC0000331	Planktothrix agardhii NIVA-CYA 116	cyanopeptolin 1138		DQ837301.1	0	0
BGC0000332	Microcystis sp. NIVA-CYA 172/5	cyanopeptolin		DQ075244.1	0	0
BGC0000333	Salinispora arenicola CNS-205	cyclomarin D	cytotoxic	CP000850.1	5140169	5187645
BGC0000334	Tolypocladium inflatum NRRL 8044	cyclosporin A		QEPI01000018.1	1270402	1378084
BGC0000335	Cystobacter fuscus	cystomanamide A		KJ710244.1	0	0
BGC0000336	Streptomyces filamentosus NRRL 11379	daptomycin	antibacterial	AY787762.1	45828	108856
BGC0000337	Metarhizium robertsii ARSEF 23	destruxin A	cytotoxic, insecticidal	GL698760.1	0	0
BGC0000338	Aspergillus rugulosus	echinocandin B	antifungal	JX421684.1	0	0
BGC0000339	Streptomyces lasaliensis	echinomycin	antibacterial, antifungal, cytotoxic	AB211309.1	0	0
BGC0000340	Streptomyces sp. LZ35	echoside A	antibacterial, cytotoxic	KJ156360.1	0	0
BGC0000341	Streptomyces fungicidicus	enduracidin A		DQ403252.1	0	0
BGC0000342	Fusarium equiseti	enniatin	antibacterial, cytotoxic	Z18755.3	0	0
BGC0000343	Pseudomonas sp. J465	enterobactin	siderophore	GQ370384.1	27847	34054
BGC0000344	Pseudomonas entomophila L48	entolysin	swarming motility	CT573326.1	3206616	3277103
BGC0000345	Streptomyces hygroscopicus	eponemycin	antiprotozoal, cytotoxic, inhibitor	KF647220.1	0	0
BGC0000346	Goodfellowiella coeruleoviolacea	epoxomicin	cytotoxic, inhibitor	KF647219.1	0	0
BGC0000347	Streptococcus equi subsp. equi	equibactin	siderophore	AM909652.1	36024	59836
BGC0000348	Epichloe festucae var. lolii	ergovaline		EF125025.1	0	0
BGC0000349	Saccharopolyspora erythraea NRRL 2338	erythrochelin	antibacterial, siderophore	AM420293.1	3324848	3348992
BGC0000350	uncultured organism	ET-743	cytotoxic	HQ609499.1	0	0
BGC0000351	Mycolicibacterium smegmatis MC2 155	exochelin	siderophore	AF027770.1	2531	26900
BGC0000352	Acinetobacter sp. ADP1	fimsbactin A	siderophore	CR543861.1	2699483	2725713
BGC0000353	Streptomyces sp. MA6548	tacrolimus	immunosuppressive	AF082100.1	0	0
BGC0000354	Actinoplanes friuliensis	friulimicin A		AJ488769.3	0	0
BGC0000355	Aspergillus fumigatus Af293	fumiquinazoline A	cytotoxic	CM000174.1	3010494	3035305
BGC0000357	Penicillium rubens Wisconsin 54-1255	cyclo-(D-Phe-L-Phe-D-Val-L-Val)	inhibitor	AM920431.1	1080827	1099362
BGC0000358	Paenibacillus polymyxa SC2	fusaricidin A		EU431181.2	0	0
BGC0000359	Thermobifida fusca YX	Fuscachelin A	siderophore	CP000088.1	2172724	2196882
BGC0000360	Streptomyces sp. L-49973	GE81112	antibacterial	FN821996.1	0	0
BGC0000361	Aspergillus fumigatus Af293	gliotoxin	antibacterial, antifungal, antioxidant, cytotoxic, inhibitor	AAHF01000006.1	1028363	1054627
BGC0000362	Mycobacterium avium	glycopeptidolipid	other	AF143772.2	0	0
BGC0000363	Mycobacteroides chelonae	glycopeptidolipid		AM231612.1	0	0
BGC0000364	Mycobacteroides abscessus	glycopeptidolipid		AM231618.1	0	0
BGC0000365	Mycolicibacterium smegmatis MC2 155	glycopeptidolipid		AY439015.3	0	0
BGC0000366	Streptomyces sp. NRRL F-4415	gobichelin A	siderophore	KC215181.1	0	0
BGC0000367	Brevibacillus brevis NBRC 100599	gramicidin	antibacterial	AP008955.1	3011718	3073069
BGC0000368	Streptomyces sp. ATCC 700974	griseobactin	siderophore	FN545130.1	3182	24298
BGC0000369	Anabaena sp. Syke748	hassallidin C	antifungal	KJ502174.1	0	0
BGC0000370	Bipolaris zeicola	HC toxin		M98024.2	0	0
BGC0000371	Rhodococcus erythropolis PR4	heterobactin A	siderophore	AP008957.1	2888228	2910756
BGC0000372	Aspergillus fumigatus Af293	hexadehydroastechrome	cytotoxic, siderophore	CM000171.1	3423866	3446129
BGC0000373	Streptomyces clavuligerus ATCC 27064	holomycin	antibacterial, antifungal, antiviral, cytotoxic	CM000913.1	6204480	6222797
BGC0000374	Streptomyces griseoflavus	hormaomycin	antimalarial, antibacterial, signalling	HQ542230.1	0	0
BGC0000375	Streptomyces chromofuscus	indigoidine	antibacterial	JX499187.1	0	0
BGC0000376	Streptomyces sp. Sp080513GE-23	JBIR-34	other	AB902962.1	0	0
BGC0000377	Bacillus sp. NK2003	koranimine		JF828091.1	0	0
BGC0000378	Kutzneria sp. 744	Kutzneride 1		EU074211.1	0	0
BGC0000379	Streptomyces viridochromogenes	glycinocin A	antibacterial	HM756254.1	0	0
BGC0000380	Sorangium cellulosum	Leupyrrin A1		HM639990.1	0	0
BGC0000381	Bacillus licheniformis DSM 13 = ATCC 14580	lichenysin	antibacterial, cytotoxic	AE017333.1	370023	408881
BGC0000382	Streptomyces toxytricini	lipstatin	inhibitor	KJ872771.1	0	0
BGC0000383	Photorhabdus laumondii subsp. laumondii TTO1	luminmycin A	cytotoxic	CP024901.1	2202808	2257564
BGC0000384	Lyngbya majuscula	lyngbyatoxin	cytotoxic, irritant, tumor promoter, vesicant	AY588942.1	2740	13999
BGC0000385	Lysobacter sp. ATCC 53042	lysobactin	antibacterial	JF412274.1	79934	129211
BGC0000386	Burkholderia thailandensis E264	malleobactin A	siderophore	CP000086.1	2748130	2778630
BGC0000387	Pseudomonas syringae pv. syringae	mangotoxin	phytotoxic	JQ409468.1	0	0
BGC0000388	Streptomyces hygroscopicus	mannopeptimycin	antibacterial	AY735112.1	0	0
BGC0000389	Pseudomonas fluorescens SS101	massetolide A	antibacterial, antifungal, surfactant	EU199081.2	11695	35942
BGC0000391	Marinactinospora thermotolerans	methylpendolmycin	cytotoxic, signalling	JN634585.1	0	0
BGC0000392	Actinosynnema mirum DSM 43827	mirubactin	siderophore	CP001630.1	3113324	3141040
BGC0000393	Myxococcus xanthus DK 1622	myxoprincomide-c506	predation	CP000113.1	4498820	4546737
BGC0000394	Streptomyces lusitanus	naphthyridinomycin	antibacterial, cytotoxic	JQ996389.1	0	0
BGC0000395	Nocardia uniformis subsp. tsuyamanensis	nocardicin A	antibacterial	AY541063.1	0	0
BGC0000396	Nostoc sp. 73.1	nodularin	phytotoxic	JF342711.1	0	0
BGC0000397	Nostoc sp. ATCC 53789	nostocyclopeptide A2	cytotoxic	AY167420.1	0	0
BGC0000398	Pseudomonas sp. CMR12a	orfamide B	antifungal, insecticidal, surfactant	JQ309921.1	0	0
BGC0000399	Pseudomonas protegens Pf-5	orfamide A	antialgal, antifungal, surfactant	CP000076.1	2364934	2411953
BGC0000400	Paenibacillus sp. OSY-SE	paenibacterin	antibacterial, surfactant	JX899679.1	0	0
BGC0000401	Paenibacillus elgii B69	paenibactin	siderophore	HQ668144.1	0	0
BGC0000402	Paenibacillus larvae subsp. larvae DSM 25430	paenilarvin A		CP003355.1	1841078	1878357
BGC0000403	Paenibacillus elgii	Pelgipeptin A		JQ745271.1	0	0
BGC0000404	Penicillium chrysogenum	penicillin	antibacterial	DQ192518.1	0	0
BGC0000405	Penicillium chrysogenum	δ-(L-α-aminoadipyl)-L-cysteine-D-valine		EF601124.1	0	0
BGC0000406	Streptomyces viridochromogenes	phosphinothricin tripeptide		X65195.2	0	0
BGC0000407	Bacillus subtilis subsp. subtilis	plipastatin	antifungal, surfactant	JQ073773.1	0	0
BGC0000408	Paenibacillus polymyxa	polymyxin	antibacterial, surfactant	EU371992.1	0	0
BGC0000409	Streptomyces albus subsp. albus	porothramycin A	antibacterial, cytotoxic	HQ872605.1	0	0
BGC0000410	Pseudomonas fluorescens	pseudomonine	siderophore	EF484930.1	0	0
BGC0000411	Pseudomonas putida	putisolvin	antibacterial, antifungal	DQ151887.2	0	0
BGC0000412	Pseudomonas aeruginosa PAO1	pyochelin	antibacterial, siderophore	AF074705.2	0	0
BGC0000413	Pseudomonas protegens Pf-5	Pf-5 pyoverdine	siderophore	CP000076.1	4702146	4877199
BGC0000414	Streptomyces melanovinaceus	quinocarcin	cytotoxic	AB819321.1	0	0
BGC0000415	Streptomyces griseovariabilis subsp. bandungensis	quinomycin	antibacterial, cytotoxic	JN852959.1	0	0
BGC0000416	Xenorhabdus nematophila ATCC 19061	rhabdopeptide 1		FN667742.1	2154724	2170060
BGC0000417	Rhodococcus jostii RHA1	rhodochelin	siderophore	CP000431.1	2443456	2455531
BGC0000418	Amycolatopsis lurida	Ristocetin A		KJ364518.1	0	0
BGC0000419	Amycolatopsis japonica	ristomycin A	antibacterial	CP008953.1	6816619	6885328
BGC0000420	Penicillium rubens Wisconsin 54-1255	histidyltryptophanyldiketopiperazine		AM920436.1	3638081	3658739
BGC0000421	Pseudomonas fluorescens	safracin A	cytotoxic	AY061859.1	0	0
BGC0000422	Streptomyces lavendulae	saframycin A	antibacterial, cytotoxic	DQ838002.1	0	0
BGC0000423	Streptomyces scabiei 87.22	scabichelin	siderophore	FN554889.1	9541287	9571306
BGC0000424	Herbaspirillum seropedicae SmR1	serobactin C	siderophore	CP002039.1	2645251	2687402
BGC0000425	Pseudomonas sp. CMR12a	sessilin A	antifungal, surfactant	JQ309920.1	0	0
BGC0000426	Paenibacillus larvae	sevadicin	antibacterial	KF318360.1	0	0
BGC0000427	Trichormus variabilis ATCC 29413	shinorine	UV protective	CP000117.1	4798900	4805360
BGC0000428	Streptosporangium sibiricum	sibiromycin	antibacterial, cytotoxic	FJ768674.1	0	0
BGC0000429	Streptomyces sp. Acta 2897	skyllamycin A	antibacterial, inhibitor	JF430460.1	0	0
BGC0000430	Nodularia spumigena CCY9414	spumigin E	inhibitor	CP007203.2	4953880	4975880
BGC0000431	Streptomyces filamentosus NRRL 15998	stenothricin	antibacterial	DS999644.1	870145	925039
BGC0000432	Streptomyces rochei NBRC 12908	streptothricin F	antibacterial, antibacterial	AB684619.1	1	34051
BGC0000433	Bacillus velezensis FZB42	surfactin	antibacterial, surfactant	AJ575642.1	0	0
BGC0000434	Streptomyces sp. SNA15896	SW-163C	antibacterial, cytotoxic	AB375771.1	0	0
BGC0000435	Pseudomonas syringae pv. tomato str. DC3000	syringafactin A		AE016853.1	3151815	3184002
BGC0000436	Rhizobium sp. AP16	syringolin A	cytotoxic	AJVM01000074.1	7793	28527
BGC0000437	Pseudomonas syringae pv. syringae B728a	syringomycin	phytotoxic	CP000075.1	3060225	3182922
BGC0000438	Pseudomonas syringae pv. syringae	syringopeptin 25A	virulence factor	AF286216.2	0	0
BGC0000439	Saccharomonospora sp. CNQ490	taromycin A	antibacterial, surfactant	KF301601.1	0	0
BGC0000440	Actinoplanes teichomyceticus	Teicoplanin A2-1		AJ605139.1	0	0
BGC0000441	Actinoplanes teichomyceticus	teicoplanin		AJ632270.1	0	0
BGC0000442	Aspergillus nidulans FGSC A4	terrequinone A	cytotoxic	BN001305.1	732113	741871
BGC0000443	Pseudomonas sp. SHC52	thanamycin	antifungal	HQ888764.1	0	0
BGC0000444	Streptomyces turgidiscabies Car8	thaxtomin A	herbicidal, phytotoxic	AY707081.1	12536	33158
BGC0000445	Micromonospora sp. ML1	thiocoraline	antibacterial, cytotoxic	AM113472.1	0	0
BGC0000446	Klebsiella oxytoca	tilivalline	cytotoxic, enterotoxic	HG425356.1	0	0
BGC0000447	Pseudomonas costantinii	tolaasin I	antifungal	HE967327.1	0	0
BGC0000448	Streptomyces achromogenes	tomaymycin	antibacterial, antifungal, antiviral, cytotoxic	FJ768957.1	0	0
BGC0000449	Paenibacillus terrae	tridecaptin	antibacterial	KF111342.1	0	0
BGC0000450	Streptomyces triostinicus	triostin A	cytotoxic	AB366635.1	0	0
BGC0000451	Teredinibacter turnerae T7901	turnerbactin	siderophore	CP001614.2	4483386	4507022
BGC0000452	Brevibacillus brevis NBRC 100599	tyrocidine	antibacterial	AP008955.1	2867472	2916558
BGC0000453	Streptomyces tsusimaensis	valinomycin	antibacterial, antifungal, antiviral, cytotoxic, insecticidal	DQ174261.1	0	0
BGC0000454	Vibrio anguillarum RV22	vanchrobactin	siderophore	AM168450.2	0	0
BGC0000455	Amycolatopsis orientalis HCCB10007 (ATCC43491)	vancomycin	antibacterial	HQ679900.1	1	65044
BGC0000456	Lecanicillium sp. HF627	verlamelin		AB862312.1	0	0
BGC0000457	Rhizobium etli CFN 42	vicibactin	siderophore	CP000138.1	511806	523079
BGC0000459	Streptomyces griseoviridis	griseoviridin	antibacterial, antifungal	JX508597.1	13530	118200
BGC0000460	Vibrio vulnificus CMCP6	vulnibactin	siderophore	AE016796.2	890623	914333
BGC0000461	Lysobacter enzymogenes	WAP-8294A2	antibacterial	JN596952.1	0	0
BGC0000462	Pseudomonas putida	viscosin		JN982332.1	0	0
BGC0000463	Pseudomonas putida	xantholysin A	antibacterial, antifungal	KC297506.1	4624	47830
BGC0000464	Xenorhabdus doucetiae	xenoamicin A	antiparasidal, antiplasmodial	FO704550.1	2329335	2435321
BGC0000465	Xenorhabdus nematophila ATCC 19061	xenortide A	cytotoxic	FN667742.1	2235579	2245621
BGC0000466	Streptomyces sp. TP-A2060	yatakemycin	antifungal, cytotoxic	JF429418.1	0	0
BGC0000467	Yersinia enterocolitica	yersiniabactin	siderophore	Y12527.1	0	0
BGC0000468	Streptomyces bottropensis DSM40262	bottromycin A2	antibacterial	HE983629.1	1377	18956
BGC0000469	Streptomyces sp. BC16019	bottromycin A2	antibacterial	JX235926.1	16255	33922
BGC0000470	Streptomyces sp. WMMB272	bottromycin D	antibacterial	JX827389.1	12177	26921
BGC0000471	Oscillatoria nigro-viridis PCC 7112	viridisamide A		CP003614.1	4308240	4321209
BGC0000472	Anabaena sp. 90	anacyclamide A10		FJ461733.2	0	0
BGC0000473	Microcystis aeruginosa NIES-298	aerucyclamide A		AM774406.1	0	0
BGC0000474	Microcystis aeruginosa PCC 7806	microcyclamide		AM931579.1	0	0
BGC0000475	Prochloron didemni	patellamide A	cytotoxic	AY986476.1	0	0
BGC0000476	uncultured Prochloron sp.	patellamide B		DQ869558.1	0	0
BGC0000477	uncultured Prochloron sp. 06037A	patellin 2		EU290742.1	0	0
BGC0000478	uncultured Prochloron sp.	patellin 6		EU290743.1	0	0
BGC0000479	Planktothrix agardhii NIES-596	prenylagaramide B		HQ655154.1	0	0
BGC0000480	Nostoc spongiaeforme var. tenue str. Carmeli	tenuecyclamide A	antibacterial	EU290741.1	0	0
BGC0000482	uncultured Prochloron sp.	trunkamide	cytotoxic	EU290744.1	0	0
BGC0000483	Microcystis aeruginosa PCC 9432	aeruginosamide B	cytotoxic	CAIH01000183.1	0	0
BGC0000484	Lactobacillus plantarum	glycocin F	antibacterial	GU552553.1	0	0
BGC0000485	Lactobacillus acidophilus	acidocin B	antibacterial	Z34920.1	0	0
BGC0000486	Butyrivibrio fibrisolvens	butyrivibriocin AR10		AF076529.2	1470	5898
BGC0000487	Carnobacterium maltaromaticum	carnocyclin	antibacterial	EU624394.2	0	0
BGC0000488	Clostridium beijerinckii	circularin A	antibacterial	AJ566621.1	0	0
BGC0000489	Enterococcus faecalis	enterocin AS-48		Y12234.1	0	0
BGC0000490	Lactococcus garvieae DCC43	garvicin ML	antibacterial	AMQS01000001.1	91715	95513
BGC0000491	Lactobacillus gasseri	gassericin A	antibacterial	AB007043.2	0	0
BGC0000492	Lactococcus sp. QU 12	lactocyclicin Q	antibacterial, antibacterial, antibacterial	AB462499.1	0	0
BGC0000493	Leuconostoc mesenteroides	leucocyclicin Q	antibacterial	AB649282.1	0	0
BGC0000494	Streptococcus uberis	uberolysin	antibacterial	DQ650653.1	0	0
BGC0000495	Actinoplanes garbadinensis	actagardine	antibacterial	FJ547091.1	0	0
BGC0000496	Streptomyces griseus subsp. griseus NBRC 13350	AmfS	morphogen	AP009493.1	2822113	2829457
BGC0000497	Streptococcus ratti	BHT-Aα	antibacterial	DQ145752.1	0	0
BGC0000498	Streptococcus equinus	bovicin HJ50	antibacterial, signalling	EU497962.2	0	0
BGC0000499	Butyrivibrio fibrisolvens	butyrivibriocin OR79		AF062647.2	0	0
BGC0000500	Carnobacterium maltaromaticum	carnolysin A1	antibacterial	KF573751.1	0	0
BGC0000501	Catenulispora acidiphila DSM 44928	catenulipeptin		CP001700.1	4809160	4816367
BGC0000502	Bacillus cereus	cerecidin	antibacterial	KJ000001.1	0	0
BGC0000503	Streptomyces cinnamoneus	cinnamycin	antibacterial	AJ536588.1	0	0
BGC0000504	Plasmid pAD1	cytolysin ClyLl	antibacterial, cytotoxic	L37110.1	0	0
BGC0000505	Enterococcus faecalis	enterocin W α	antibacterial	AB600897.1	0	0
BGC0000506	Bacillus subtilis subsp. spizizenii	entianin	antibacterial, signalling	HQ871873.1	0	0
BGC0000507	Staphylococcus epidermidis	epicidin	antibacterial	Y14023.1	0	0
BGC0000508	Staphylococcus epidermidis	epidermin	antibacterial	X62386.1	0	0
BGC0000509	Staphylococcus epidermidis	epilancin 15x	antibacterial	JQ979180.1	0	0
BGC0000510	Staphylococcus epidermidis	epilancin K7		U20348.1	0	0
BGC0000511	Bacillus subtilis	ericin S	antibacterial, signalling	AF233755.1	0	0
BGC0000513	Saccharopolyspora erythraea NRRL 2338	Ery-9		AM420293.1	4704394	4710596
BGC0000514	Staphylococcus gallinarum	gallidermin	antibacterial	DQ367437.1	0	0
BGC0000515	Geobacillus thermodenitrificans NG80-2	geobacillin I	antibacterial	CP000557.1	298823	311453
BGC0000516	Geobacillus thermodenitrificans	geobacillin II	antibacterial	ABVH01000020.1	8707	19626
BGC0000517	Bacillus halodurans C-125	haloduracin β	antibacterial, inhibitor	BA000004.3	476922	486037
BGC0000518	Streptomyces viridochromogenes DSM 40736	informatipeptin		GG657757.1	8170944	8185829
BGC0000519	Actinomadura namibiensis	labyrinthopeptin A2	antiviral	FN178622.1	0	0
BGC0000520	Lactococcus lactis	lacticin 3147 A1	antibacterial	AE001272.1	27744	37224
BGC0000521	Lactococcus lactis subsp. lactis	lacticin 481		U91581.1	0	0
BGC0000522	Lactococcus lactis	lacticin Z		AB740019.1	0	0
BGC0000523	Lactobacillus sakei	lactocin S		Z54312.2	0	0
BGC0000525	Bacillus licheniformis	lichenicidin VK21 A1	antibacterial	GU949560.1	0	0
BGC0000526	Streptococcus macedonicus	macedocin	antibacterial	DQ835394.1	0	0
BGC0000527	Bacillus sp. HIL-Y85/54728	mersacidin	antibacterial	AJ250862.2	0	0
BGC0000528	Clavibacter michiganensis subsp. michiganensis NCPPB 382	michiganin A	antibacterial	AM711867.1	2216380	2224562
BGC0000529	Microbispora corallina	microbisporicin A2	antibacterial	HM536998.1	1656	23062
BGC0000530	Streptococcus mutans N66	mutacin B-Ny266	antibacterial	AHSM01000014.1	36531	46648
BGC0000531	Streptococcus mutans	mutacin I		AF238860.1	0	0
